t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
BarbMacaq,Chimp,Jpn_Macaq,Lemur,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Jpn_Macaq,Mouse,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Jpn_Macaq,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Jpn_Macaq,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Jpn_Macaq,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Lemur,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Lemur,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Chimp,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Mouse,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Mouse,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Chimp,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Chimp,Orang,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Orang,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Orang,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Rhesus_Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Rhesus_Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Gorilla,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Human,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Jpn_Macaq,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Lemur,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Mouse,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Squir_Mon,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gibbon,Tarsier,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Human,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Jpn_Macaq,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Lemur,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Mouse,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Squir_Mon,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Gorilla,Tarsier,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Human,Jpn_Macaq,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Human,Lemur,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Human,Mouse,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Human,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Human,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Human,Squir_Mon,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Human,Tarsier,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Lemur,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Mouse,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Orang,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Rhesus_Ma,0.92,0.04,0.04,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Squir_Mon,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Jpn_Macaq,Tarsier,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Lemur,Orang,0.96,0.03,0.01,100.0
BarbMacaq,Crab-E.Ma,Lemur,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Mouse,Orang,0.96,0.03,0.01,100.0
BarbMacaq,Crab-E.Ma,Mouse,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Crab-E.Ma,Orang,Rhesus_Ma,0.04,0.95,0.01,100.0
BarbMacaq,Crab-E.Ma,Orang,Squir_Mon,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Orang,Tarsier,0.96,0.01,0.03,100.0
BarbMacaq,Crab-E.Ma,Rhesus_Ma,Squir_Mon,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Rhesus_Ma,Tarsier,0.04,0.01,0.95,100.0
BarbMacaq,Crab-E.Ma,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Gorilla,Human,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Gorilla,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Gibbon,Gorilla,Lemur,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Gorilla,Mouse,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Gorilla,Orang,0.88,0.07,0.05,100.0
BarbMacaq,Gibbon,Gorilla,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Gibbon,Gorilla,Squir_Mon,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Gorilla,Tarsier,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Human,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Gibbon,Human,Lemur,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Human,Mouse,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Human,Orang,0.88,0.07,0.05,100.0
BarbMacaq,Gibbon,Human,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Gibbon,Human,Squir_Mon,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Human,Tarsier,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Lemur,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Mouse,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Jpn_Macaq,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Lemur,Orang,0.07,0.91,0.02,100.0
BarbMacaq,Gibbon,Lemur,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Gibbon,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Mouse,Orang,0.07,0.91,0.02,100.0
BarbMacaq,Gibbon,Mouse,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Gibbon,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gibbon,Orang,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Gibbon,Orang,Squir_Mon,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Orang,Tarsier,0.07,0.02,0.91,100.0
BarbMacaq,Gibbon,Rhesus_Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Rhesus_Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Gibbon,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Human,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Human,Lemur,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Human,Mouse,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Human,Orang,0.02,0.05,0.93,100.0
BarbMacaq,Gorilla,Human,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Human,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Human,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Lemur,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Mouse,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Jpn_Macaq,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Lemur,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Gorilla,Lemur,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Gorilla,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Mouse,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Gorilla,Mouse,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Gorilla,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Gorilla,Orang,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Orang,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Orang,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Gorilla,Rhesus_Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Rhesus_Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Gorilla,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Human,Jpn_Macaq,Lemur,0.01,0.96,0.03,100.0
BarbMacaq,Human,Jpn_Macaq,Mouse,0.01,0.96,0.03,100.0
BarbMacaq,Human,Jpn_Macaq,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Human,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
BarbMacaq,Human,Jpn_Macaq,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Human,Jpn_Macaq,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Human,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Human,Lemur,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Human,Lemur,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Human,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Human,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Human,Mouse,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Human,Mouse,Rhesus_Ma,0.01,0.03,0.96,100.0
BarbMacaq,Human,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Human,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Human,Orang,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Human,Orang,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Human,Orang,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Human,Rhesus_Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Human,Rhesus_Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Human,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Lemur,Mouse,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Lemur,Orang,0.96,0.03,0.01,100.0
BarbMacaq,Jpn_Macaq,Lemur,Rhesus_Ma,0.0,1.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Lemur,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Lemur,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Mouse,Orang,0.96,0.03,0.01,100.0
BarbMacaq,Jpn_Macaq,Mouse,Rhesus_Ma,0.0,1.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Mouse,Squir_Mon,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Mouse,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Orang,Rhesus_Ma,0.0,1.0,0.0,100.0
BarbMacaq,Jpn_Macaq,Orang,Squir_Mon,0.96,0.01,0.03,100.0
BarbMacaq,Jpn_Macaq,Orang,Tarsier,0.96,0.01,0.03,100.0
BarbMacaq,Jpn_Macaq,Rhesus_Ma,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Jpn_Macaq,Rhesus_Ma,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Jpn_Macaq,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Lemur,Mouse,Orang,0.0,0.0,1.0,100.0
BarbMacaq,Lemur,Mouse,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Lemur,Mouse,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Lemur,Mouse,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Lemur,Orang,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Lemur,Orang,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Lemur,Orang,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Lemur,Rhesus_Ma,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Lemur,Rhesus_Ma,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Lemur,Squir_Mon,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Mouse,Orang,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Mouse,Orang,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Mouse,Orang,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Mouse,Rhesus_Ma,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Mouse,Rhesus_Ma,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Mouse,Squir_Mon,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Orang,Rhesus_Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Orang,Rhesus_Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Orang,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
BarbMacaq,Rhesus_Ma,Squir_Mon,Tarsier,1.0,0.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Gibbon,0.07,0.91,0.02,100.0
Bovine,Chimp,Crab-E.Ma,Gorilla,0.0,1.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Human,0.0,1.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Jpn_Macaq,1.0,0.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Lemur,0.0,0.0,1.0,100.0
Bovine,Chimp,Crab-E.Ma,Mouse,0.0,0.0,1.0,100.0
Bovine,Chimp,Crab-E.Ma,Orang,0.0,1.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Rhesus_Ma,1.0,0.0,0.0,100.0
Bovine,Chimp,Crab-E.Ma,Squir_Mon,0.0,0.0,1.0,100.0
Bovine,Chimp,Crab-E.Ma,Tarsier,0.0,0.0,1.0,100.0
Bovine,Chimp,Gibbon,Gorilla,0.0,1.0,0.0,100.0
Bovine,Chimp,Gibbon,Human,0.0,1.0,0.0,100.0
Bovine,Chimp,Gibbon,Jpn_Macaq,0.07,0.02,0.91,100.0
Bovine,Chimp,Gibbon,Lemur,0.0,0.0,1.0,100.0
Bovine,Chimp,Gibbon,Mouse,0.0,0.0,1.0,100.0
Bovine,Chimp,Gibbon,Orang,0.07,0.88,0.05,100.0
Bovine,Chimp,Gibbon,Rhesus_Ma,0.07,0.02,0.91,100.0
Bovine,Chimp,Gibbon,Squir_Mon,0.0,0.0,1.0,100.0
Bovine,Chimp,Gibbon,Tarsier,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Human,0.1,0.85,0.05,100.0
Bovine,Chimp,Gorilla,Jpn_Macaq,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Lemur,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Mouse,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Orang,0.05,0.02,0.93,100.0
Bovine,Chimp,Gorilla,Rhesus_Ma,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Squir_Mon,0.0,0.0,1.0,100.0
Bovine,Chimp,Gorilla,Tarsier,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Jpn_Macaq,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Lemur,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Mouse,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Orang,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Rhesus_Ma,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Squir_Mon,0.0,0.0,1.0,100.0
Bovine,Chimp,Human,Tarsier,0.0,0.0,1.0,100.0
Bovine,Chimp,Jpn_Macaq,Lemur,0.0,0.0,1.0,100.0
Bovine,Chimp,Jpn_Macaq,Mouse,0.0,0.0,1.0,100.0
Bovine,Chimp,Jpn_Macaq,Orang,0.0,1.0,0.0,100.0
Bovine,Chimp,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
Bovine,Chimp,Jpn_Macaq,Squir_Mon,0.0,0.0,1.0,100.0
Bovine,Chimp,Jpn_Macaq,Tarsier,0.0,0.0,1.0,100.0
